Province,District,Year,Poverty Rate (%),Access to improved drinking water (% of population),Access to piped water (% of population),Access to improved toilet facilities (% of population),Open defecation (% of population),Access to electricity (% of population),Households' mobile phone ownership (% of population),"Accessibility, health (% of population within 15 minutes to clinic/hospital)","Accessibility, transportation (% of population within 15 minutes to public transportation)",Household size,Household dependency ratio,"Occupancy, present occupancy status-owner (% of population)","Occupancy, present occupancy status-rented (% of population)","Occupancy, present occupancy status-other (% of population)",Improved roof material (% of population),Improved wall material (% of population),Improved roof and wall material (% of population),Household members per room,Overcrowding (% of population),"Labor force participation rate (% of working age population, 15-64 years old)",Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment services (% of total employment),Wage and salaried employment (% of total employment),"Self-employment, non-agriculture (% of total employment)","Self-employment, agriculture (% of total employment)",Unpaid employment (% of total employment),Child labor (% of children aged 10-17),"Net school enrollment, primary school, 6-10 years old (% net)","Net school enrollment, middle school, 11-13 years old (% net)","Youth literacy, 15-24 years old (% of population aged 15-24)","Adult literacy, 25 or more years old (% of population aged 25 or more)","Primary completion rate, 14-17 years old (% of population aged 14-17)","Youth literacy gender parity index, 15-24 years old","Adult literacy gender parity index, 25 or more years old","Primary completion gender parity index, 14-17 years old","Net enrolment rate in primary gender parity index, 6-10 years old","Net enrolment rate in middle school gender parity index, 11-13 years old",Urban share of population (% of population)
Balochistan,Quetta,2014,41.0,78.55,69.8,24.89,1.83,96.02,96.64,30.82,72.3,7.77,0.47,72.19,23.29,25.93,63.07,69.28,56.62,2.99,35.32,42.36,11.66,21.08,67.26,57.56,36.55,1.65,3.99,19.58,72.39,37.32,73.66,48.1,72.76,0.75,0.35,1.04,0.85,0.96,62.92
Balochistan,Sheerani,2004,71.0,45.58,32.11,9.34,75.55,42.27,0.23,29.67,28.34,7.45,0.48,93.93,4.87,1.2,3.19,70.67,2.77,3.11,36.58,44.41,42.72,20.32,36.96,42.76,12.53,25.93,18.78,32.86,34.07,10.14,34.43,14.28,26.94,0.23,0.07,0.23,0.43,0.7,9.95
Balochistan,Sheerani,2006,76.0,20.98,15.01,3.17,58.48,75.47,22.55,19.14,49.45,7.03,0.48,97.01,1.31,1.67,18.48,35.73,13.37,2.66,27.31,44.37,54.6,11.79,33.6,32.96,13.48,33.39,20.16,23.73,56.51,20.7,49.24,18.26,46.94,0.33,0.11,0.28,0.44,0.26,9.16
Balochistan,Sheerani,2008,73.0,27.97,17.87,20.56,41.16,54.25,62.23,34.84,36.86,7.71,0.43,95.78,3.09,1.13,11.41,55.74,11.21,3.08,43.78,42.19,45.65,8.82,45.53,33.77,15.93,24.15,26.15,14.66,45.48,25.25,49.96,27.02,51.49,0.25,0.06,0.31,0.51,0.54,13.01
Balochistan,Sheerani,2010,45.0,0.34,0.34,35.02,50.94,76.32,82.04,4.18,64.16,5.91,0.47,97.96,0.48,0.48,11.21,12.11,9.42,2.92,28.63,58.32,73.85,10.46,15.7,19.37,5.95,34.19,40.49,38.0,63.54,12.19,38.9,16.15,37.62,0.12,0.04,0.19,0.73,0.18,0.0
Balochistan,Sheerani,2012,41.0,34.5,0.61,27.76,31.56,72.46,50.48,2.38,49.66,7.61,0.48,97.25,0.15,0.27,21.29,63.09,16.09,2.75,28.52,39.16,34.11,30.19,35.71,48.29,19.73,23.59,8.4,19.77,53.84,13.6,31.42,24.58,32.59,0.04,0.34,0.06,0.17,0.17,0.0
Balochistan,Sheerani,2014,59.0,17.56,17.35,20.6,32.75,69.66,64.91,0.0,63.62,4.54,0.4,95.69,0.0,0.16,55.6,63.51,50.71,3.55,42.09,49.5,28.86,23.17,47.97,35.46,27.69,19.46,17.31,33.74,43.83,14.71,43.59,33.94,37.03,0.13,0.08,0.12,0.09,0.0,0.0
Balochistan,Sibi,2004,66.0,48.58,48.06,13.58,65.96,54.35,1.11,8.17,10.79,7.14,0.42,84.16,5.39,10.45,18.98,19.35,13.74,3.04,38.91,45.48,52.92,10.25,36.82,40.32,9.56,28.7,21.42,24.11,43.01,15.29,42.97,22.13,51.64,0.51,0.19,0.73,0.8,0.4,25.76
Balochistan,Sibi,2006,77.0,64.77,52.39,8.9,22.91,76.74,24.79,9.92,11.39,8.44,0.43,78.7,5.94,15.36,20.83,22.03,19.12,3.62,55.18,42.77,53.18,11.14,35.68,38.88,13.75,25.03,22.34,18.31,45.4,21.59,50.03,27.11,51.73,0.55,0.22,0.78,0.75,0.48,25.68
Balochistan,Sibi,2008,64.0,58.04,54.68,25.11,23.84,74.17,38.05,17.23,97.49,7.7,0.42,74.27,5.63,20.1,19.09,22.61,16.72,3.2,40.67,42.44,38.18,9.9,51.92,47.09,16.41,19.34,17.16,14.19,60.75,20.27,58.81,32.29,53.01,0.55,0.24,0.53,0.9,0.62,33.95
Balochistan,Sibi,2010,31.0,76.17,73.37,42.33,3.12,87.27,82.86,46.94,90.39,6.25,0.4,75.68,6.79,15.56,25.77,41.96,22.62,2.47,21.39,44.66,34.74,17.13,48.13,57.07,11.01,18.0,13.92,13.57,75.94,49.35,73.87,42.26,70.75,0.8,0.5,0.8,0.82,0.85,49.12
Balochistan,Sibi,2012,30.0,74.19,70.41,46.9,0.43,89.68,84.17,43.13,78.27,6.3,0.37,80.34,5.53,12.92,55.48,44.63,34.75,3.04,35.68,45.14,25.43,25.2,49.37,69.1,12.97,10.11,7.83,9.15,64.1,34.09,66.92,47.25,64.34,0.74,0.44,0.81,0.86,0.6,57.12
Balochistan,Sibi,2014,49.0,72.58,62.78,31.35,18.69,73.65,84.14,18.84,42.66,6.88,0.44,96.07,1.28,1.91,28.72,24.58,22.5,3.67,49.2,49.53,42.08,23.95,33.97,66.53,7.46,17.22,8.79,19.56,46.09,30.1,50.63,36.22,51.24,0.63,0.39,0.93,0.72,0.75,39.17
Balochistan,Sohbatpur,2004,49.0,54.64,29.2,5.92,34.18,90.03,1.15,26.37,63.42,6.5,0.46,88.89,2.42,8.69,16.74,19.19,15.31,3.48,49.03,60.16,70.09,5.23,24.68,19.45,9.4,28.65,42.5,44.84,47.94,23.13,46.61,24.44,39.84,0.23,0.06,0.23,0.48,0.56,18.41
Balochistan,Sohbatpur,2006,73.0,48.98,10.1,6.85,31.19,88.54,36.44,17.82,34.62,7.56,0.47,80.56,1.71,17.73,25.28,28.16,20.65,4.58,75.16,70.94,79.78,3.01,17.21,12.79,6.37,23.31,57.53,59.96,46.95,19.56,39.1,22.48,41.54,0.25,0.11,0.3,0.45,0.46,16.62
Balochistan,Sohbatpur,2008,80.0,45.79,21.82,1.76,7.88,97.68,63.78,37.58,62.79,6.86,0.5,81.74,2.93,15.33,10.01,29.53,9.53,4.36,69.1,61.54,69.36,9.12,21.51,22.95,7.17,29.27,40.61,55.96,59.19,23.55,47.64,26.82,44.97,0.27,0.08,0.48,0.62,0.6,20.78
Balochistan,Sohbatpur,2010,64.0,89.76,14.26,2.27,8.86,93.66,81.96,24.43,48.33,7.17,0.5,85.87,2.3,2.3,0.13,15.96,0.13,4.8,73.55,53.05,66.56,9.31,24.13,21.96,10.67,31.93,35.45,43.51,41.96,20.93,36.72,19.51,31.7,0.31,0.12,0.39,0.61,0.25,21.13
Balochistan,Sohbatpur,2012,62.0,72.93,16.81,19.22,14.9,97.88,97.44,18.73,39.16,7.28,0.51,86.94,2.86,3.64,35.82,37.77,23.86,4.77,71.07,54.72,65.93,9.28,24.79,22.52,10.58,29.32,37.58,42.62,46.84,27.38,36.47,22.15,33.75,0.08,0.06,0.42,0.59,0.48,21.25
Balochistan,Sohbatpur,2014,64.0,72.92,22.82,2.25,5.13,98.66,94.37,49.79,75.65,7.24,0.51,83.27,2.15,2.15,36.57,41.05,32.41,4.87,69.19,59.46,67.31,10.64,22.05,24.04,8.7,29.52,37.66,47.83,49.45,22.49,45.57,24.1,41.82,0.38,0.14,0.44,0.64,0.48,26.76
Balochistan,Washuk,2004,60.0,51.85,17.38,5.59,14.62,27.85,0.24,49.37,77.17,6.96,0.47,99.29,0.19,0.52,0.93,0.37,0.23,3.21,37.38,51.06,53.95,10.45,35.6,35.29,11.07,24.84,28.8,35.58,36.21,6.7,35.43,18.64,25.08,0.21,0.13,0.34,0.41,0.28,6.24
Balochistan,Washuk,2006,68.0,38.96,30.57,5.06,25.77,45.85,6.96,23.26,85.64,5.92,0.44,96.07,1.78,2.15,5.33,14.35,3.73,2.96,28.47,47.72,30.13,17.5,52.37,56.18,12.28,17.31,14.23,33.94,62.91,8.27,46.46,16.8,52.48,0.3,0.08,0.38,0.71,0.32,12.27
Balochistan,Washuk,2008,81.0,11.42,2.94,0.14,13.84,74.1,30.46,19.7,46.36,7.04,0.48,96.12,0.56,3.33,1.37,11.98,0.58,3.53,55.7,50.11,40.53,24.24,35.23,47.45,12.66,19.92,19.97,43.92,71.4,36.14,39.04,21.7,40.95,0.15,0.04,0.23,0.73,0.24,0.0
Balochistan,Washuk,2010,53.0,8.5,3.9,4.89,3.29,28.4,66.75,17.32,60.85,5.78,0.42,95.1,0.0,0.59,2.3,23.58,0.63,3.71,58.02,51.27,59.41,11.03,29.56,37.47,6.63,24.7,31.2,29.16,71.27,41.44,48.13,30.18,60.62,0.58,0.35,0.48,0.68,0.32,0.0
Balochistan,Washuk,2012,58.0,43.1,0.0,0.93,14.76,31.68,25.53,12.66,84.0,6.96,0.44,100.0,0.0,0.0,16.56,26.57,6.89,3.72,54.38,56.72,49.3,28.21,22.5,29.85,21.84,23.66,24.66,46.22,50.55,20.42,33.38,22.58,31.23,0.19,0.19,0.28,0.64,0.25,0.0
Balochistan,Washuk,2014,64.0,54.94,2.93,0.26,9.5,55.71,56.73,8.72,81.18,7.91,0.48,99.16,0.0,0.0,6.74,21.92,4.32,3.79,59.59,69.91,31.31,43.1,25.59,23.96,26.8,9.77,39.28,66.27,56.35,22.87,49.59,18.89,54.75,0.35,0.1,0.58,0.63,0.15,0.0
Balochistan,Zhob,2004,71.0,45.58,32.11,9.34,75.55,42.27,0.23,29.67,28.34,7.45,0.48,93.93,4.87,1.2,3.19,70.67,2.77,3.11,36.58,44.41,42.72,20.32,36.96,42.76,12.53,25.93,18.78,32.86,34.07,10.14,34.43,14.28,26.94,0.23,0.07,0.23,0.43,0.7,9.95
Balochistan,Zhob,2006,76.0,20.98,15.01,3.17,58.48,75.47,22.55,19.14,49.45,7.03,0.48,97.01,1.31,1.67,18.48,35.73,13.37,2.66,27.31,44.37,54.6,11.79,33.6,32.96,13.48,33.39,20.16,23.73,56.51,20.7,49.24,18.26,46.94,0.33,0.11,0.28,0.44,0.26,9.16
Balochistan,Zhob,2008,73.0,27.97,17.87,20.56,41.16,54.25,62.23,34.84,36.86,7.71,0.43,95.78,3.09,1.13,11.41,55.74,11.21,3.08,43.78,42.19,45.65,8.82,45.53,33.77,15.93,24.15,26.15,14.66,45.48,25.25,49.96,27.02,51.49,0.25,0.06,0.31,0.51,0.54,13.01
Balochistan,Zhob,2010,55.0,22.06,17.12,42.7,17.22,76.01,74.61,13.01,49.47,6.89,0.46,95.13,3.57,4.19,13.86,41.83,11.35,3.34,43.66,57.39,65.49,11.42,23.09,28.31,7.71,28.43,35.55,43.94,38.16,13.13,43.14,20.13,32.05,0.42,0.09,0.46,0.56,0.91,17.26
Balochistan,Zhob,2012,40.0,43.76,15.34,48.92,30.81,68.92,58.17,24.7,64.09,7.1,0.47,94.29,2.7,3.87,17.56,50.61,16.76,2.59,25.16,40.24,31.18,24.54,44.28,43.89,21.15,25.22,9.75,26.25,45.22,15.22,39.47,25.64,47.29,0.19,0.28,0.21,0.29,0.43,17.29
Balochistan,Zhob,2014,54.0,35.63,31.18,41.68,26.31,89.56,68.25,8.55,49.54,7.68,0.56,93.02,4.07,5.3,16.65,36.52,9.02,2.43,8.89,43.17,49.37,14.35,36.28,34.02,15.55,30.21,20.04,12.05,48.12,26.34,59.54,21.12,67.2,0.48,0.03,0.4,0.53,0.77,25.54
Balochistan,Ziarat,2004,67.0,16.25,10.17,16.38,30.07,62.77,0.34,5.47,18.28,6.82,0.43,89.01,6.18,4.81,16.04,14.1,12.55,2.62,24.33,42.87,56.44,8.35,35.21,43.83,8.85,29.96,17.35,10.33,60.27,17.74,52.77,29.33,56.58,0.29,0.06,0.51,0.66,0.32,6.84
Balochistan,Ziarat,2006,79.0,16.91,11.4,17.3,41.4,60.87,0.46,32.71,84.18,8.32,0.42,95.19,0.0,4.81,26.74,8.17,5.63,3.3,41.85,40.81,39.26,5.73,55.02,58.57,4.25,23.25,13.93,10.9,60.39,22.97,63.32,53.36,58.97,0.63,0.53,0.57,0.76,0.75,7.87
Balochistan,Ziarat,2008,54.0,14.77,10.3,4.99,68.87,91.82,42.4,5.45,24.89,8.36,0.39,97.41,0.79,1.8,27.72,0.85,0.45,2.79,27.29,36.94,28.15,8.36,63.49,44.3,26.3,22.69,6.72,1.7,78.05,54.85,84.78,51.3,86.63,0.74,0.23,0.83,1.04,1.13,4.85
Balochistan,Ziarat,2010,34.0,39.83,26.7,14.25,31.23,98.25,93.22,16.18,82.82,5.69,0.38,94.55,0.86,4.08,29.21,10.03,2.1,2.44,17.06,56.86,32.39,17.11,50.5,51.05,20.55,17.6,10.8,13.67,60.56,30.21,54.01,34.58,56.23,0.22,0.13,0.25,0.25,0.26,11.11
Balochistan,Ziarat,2012,32.0,44.76,32.22,7.77,6.64,99.42,90.08,29.06,56.94,8.03,0.45,94.87,0.0,4.18,56.1,15.33,14.16,2.82,27.89,45.47,52.53,14.24,33.23,54.96,6.06,19.21,19.76,7.57,61.82,32.8,69.99,39.44,69.41,0.53,0.1,0.72,0.6,0.47,11.78
Balochistan,Ziarat,2014,64.0,39.03,18.26,13.91,33.25,82.97,76.02,6.44,29.71,9.29,0.48,95.45,0.38,2.82,24.59,9.03,8.17,3.59,55.3,44.55,59.84,14.12,26.05,43.26,7.93,24.17,24.41,27.36,56.6,28.66,43.92,26.0,53.89,0.42,0.14,0.65,0.57,0.69,5.44
Federal Capital Territory,Islamabad,2004,21.0,82.79,67.11,79.92,12.78,97.96,45.0,54.13,82.86,5.96,0.35,56.86,16.74,26.4,92.89,95.78,90.67,2.52,23.93,39.96,0.51,8.96,90.53,80.02,19.13,0.06,0.78,4.53,86.09,49.28,93.6,75.67,91.01,0.99,0.72,0.98,0.9,1.22,58.71
Federal Capital Territory,Islamabad,2006,12.0,87.31,70.41,84.98,7.82,98.98,82.86,85.29,96.21,5.84,0.35,53.18,14.2,32.62,97.84,99.67,97.84,2.31,18.82,38.97,3.6,11.1,85.3,77.03,17.74,2.38,2.85,5.08,87.97,61.9,94.31,79.65,92.95,0.97,0.81,1.0,0.99,0.87,66.65
Federal Capital Territory,Islamabad,2008,9.0,93.68,73.56,93.62,3.59,98.5,95.86,69.94,90.07,5.88,0.33,50.12,19.69,30.19,92.95,98.94,92.95,2.42,20.72,43.17,7.94,9.78,82.28,69.54,18.51,3.15,8.8,9.88,89.61,56.22,91.14,77.9,90.04,0.94,0.76,0.97,1.04,1.12,63.84
Federal Capital Territory,Islamabad,2010,13.0,88.19,56.43,92.59,2.28,97.91,94.77,71.75,86.77,5.88,0.33,58.71,16.24,35.01,89.99,98.27,89.94,2.47,20.47,47.8,11.16,13.62,75.22,69.31,17.73,3.71,9.26,6.38,84.74,59.03,90.26,75.09,86.7,0.95,0.73,1.06,0.97,0.71,59.28
Federal Capital Territory,Islamabad,2014,8.0,87.19,19.0,92.49,0.82,98.6,99.19,77.2,86.64,5.95,0.35,51.49,20.26,41.31,98.78,98.74,97.52,2.59,23.08,43.36,10.33,12.58,77.08,71.26,16.02,5.7,5.88,12.59,89.52,67.05,94.76,79.24,89.65,0.99,0.79,1.02,1.07,0.77,67.61
Khyber Pakhtunkhwa,Abbottabad,2004,51.0,71.88,67.95,53.14,29.78,90.37,8.78,21.12,43.97,6.17,0.41,89.78,5.74,4.48,68.33,91.07,63.09,2.91,32.71,38.3,22.7,16.26,61.04,53.16,20.27,11.35,15.22,11.83,83.03,45.9,83.93,44.76,80.28,0.8,0.44,0.83,0.96,1.16,16.56
Khyber Pakhtunkhwa,Abbottabad,2006,47.0,78.37,63.06,67.05,21.58,97.15,52.21,27.67,70.87,5.59,0.36,89.57,5.94,4.49,65.95,98.71,65.36,2.81,26.9,45.1,36.41,9.66,53.93,41.58,18.8,15.3,24.31,15.0,84.97,51.67,83.61,50.48,85.66,0.78,0.39,0.86,0.87,0.73,16.82
Khyber Pakhtunkhwa,Abbottabad,2008,35.0,78.46,74.87,55.9,19.08,99.22,74.68,25.37,54.64,6.0,0.39,90.29,6.62,3.09,75.32,76.18,66.35,2.96,34.05,32.5,20.87,17.18,61.94,49.88,23.97,14.29,11.86,5.44,83.2,60.02,91.51,55.35,88.09,0.95,0.47,0.97,0.95,0.94,18.91
Khyber Pakhtunkhwa,Abbottabad,2010,28.0,76.35,72.82,55.17,26.7,94.86,91.98,35.92,57.53,6.19,0.4,88.09,5.24,6.64,69.01,75.56,64.43,3.35,38.51,39.65,24.44,24.86,50.7,55.84,16.79,12.31,15.07,7.02,75.34,44.04,87.27,54.1,83.76,0.9,0.54,0.96,0.97,1.0,14.58
Khyber Pakhtunkhwa,Abbottabad,2012,18.0,88.25,78.53,54.65,8.47,99.43,94.66,54.51,79.89,5.76,0.38,89.51,6.26,6.87,85.51,75.59,68.71,2.79,30.69,32.99,14.17,23.8,62.03,61.03,21.82,9.38,7.77,4.28,84.81,53.23,91.57,57.68,89.88,0.94,0.5,0.95,1.01,1.09,16.9
Khyber Pakhtunkhwa,Abbottabad,2014,12.0,83.01,68.78,86.61,8.25,99.07,96.21,38.94,71.91,5.2,0.4,88.55,8.27,9.32,80.11,92.93,77.03,2.57,24.51,32.08,21.63,19.24,59.12,53.34,24.2,16.75,5.36,3.67,80.89,44.89,90.42,52.53,86.26,0.87,0.59,0.92,1.14,1.11,19.65
Khyber Pakhtunkhwa,Bannu,2004,60.0,92.93,73.79,27.97,28.59,99.88,8.19,30.97,55.17,8.05,0.43,91.79,2.28,5.93,26.03,42.53,23.11,3.44,48.77,37.19,23.09,17.62,59.29,49.69,22.54,16.11,11.66,19.38,58.99,24.72,51.99,27.03,49.96,0.28,0.13,0.31,0.51,0.28,5.77
Khyber Pakhtunkhwa,Bannu,2006,59.0,92.36,64.18,38.85,33.89,99.07,42.34,38.57,72.99,7.72,0.46,86.9,7.47,5.64,35.32,46.65,30.01,3.44,46.13,36.08,21.32,21.41,57.27,55.05,22.74,16.17,6.03,17.13,55.22,33.18,56.77,37.61,56.41,0.36,0.21,0.37,0.47,0.39,10.62
Khyber Pakhtunkhwa,Bannu,2008,45.0,96.8,80.52,47.93,13.86,99.96,76.81,33.92,71.22,7.57,0.45,90.56,4.51,4.93,38.27,58.16,37.43,3.3,47.75,36.69,13.6,18.44,67.96,63.07,21.21,11.46,4.27,11.23,63.38,28.84,59.42,38.58,60.72,0.35,0.16,0.54,0.61,0.4,5.03
Khyber Pakhtunkhwa,Bannu,2010,43.0,98.52,76.17,55.24,5.08,99.73,72.94,17.96,77.6,7.61,0.44,92.1,2.58,2.84,18.76,65.19,18.44,3.35,43.94,45.58,20.48,27.35,52.18,56.24,22.07,12.43,9.26,13.89,63.24,30.88,61.5,32.53,58.95,0.33,0.18,0.44,0.71,0.28,4.16
Khyber Pakhtunkhwa,Bannu,2012,46.0,97.98,67.69,51.71,6.39,100.0,88.01,31.6,78.77,8.33,0.46,92.3,3.29,3.6,46.52,69.35,43.3,3.9,62.29,37.38,24.07,27.62,48.31,50.63,21.71,18.8,8.86,14.69,66.78,40.44,60.91,34.26,61.05,0.39,0.19,0.38,0.64,0.35,4.43
Khyber Pakhtunkhwa,Bannu,2014,28.0,98.56,54.39,71.21,2.62,99.72,95.73,48.39,93.28,7.98,0.44,83.7,9.74,10.4,59.29,68.46,53.85,3.45,47.83,35.04,15.56,27.93,56.51,42.86,29.7,12.15,11.19,11.92,64.0,37.3,65.36,41.03,71.61,0.43,0.19,0.46,0.64,0.36,5.53
Khyber Pakhtunkhwa,Batagram,2004,72.0,51.23,45.56,29.51,54.13,75.73,1.65,17.22,46.6,6.89,0.5,89.99,1.04,8.97,24.26,94.31,23.86,3.69,50.53,40.85,56.54,8.31,35.14,29.55,12.21,36.1,22.14,21.05,55.44,11.01,44.75,19.71,34.98,0.28,0.08,0.29,0.63,0.16,0.0
Khyber Pakhtunkhwa,Batagram,2006,71.0,57.74,54.73,13.68,45.44,71.9,46.22,9.78,37.51,7.29,0.49,81.35,2.22,16.43,49.09,47.85,31.67,4.22,60.25,38.53,22.03,28.56,49.4,63.18,11.39,14.5,10.92,9.27,46.63,13.91,53.61,29.33,38.26,0.48,0.12,0.51,0.81,0.18,0.0
Khyber Pakhtunkhwa,Batagram,2008,46.0,83.01,77.81,54.44,22.72,95.95,79.0,24.24,53.09,7.23,0.52,88.61,0.5,10.88,84.72,94.01,82.85,3.17,42.69,39.49,41.74,20.45,37.81,47.25,11.68,24.62,16.46,14.4,69.25,18.77,61.11,27.23,58.34,0.46,0.1,0.56,0.9,0.32,0.0
Khyber Pakhtunkhwa,Batagram,2010,40.0,84.6,81.28,46.72,17.13,100.0,89.71,30.14,58.15,6.53,0.46,83.66,1.31,2.79,76.53,89.54,72.29,3.23,40.62,42.15,54.32,9.27,36.4,33.04,11.72,33.41,21.83,9.37,66.72,22.35,65.29,28.99,67.92,0.51,0.17,0.63,0.87,0.29,0.0
Khyber Pakhtunkhwa,Batagram,2012,34.0,83.39,77.09,72.08,15.47,97.79,94.66,34.41,54.23,7.45,0.5,89.27,1.46,1.46,84.36,94.8,80.99,3.11,37.46,45.2,51.79,14.79,33.42,31.75,15.21,23.62,29.42,7.93,61.15,19.16,57.85,28.4,48.19,0.41,0.16,0.3,0.74,0.58,0.0
Khyber Pakhtunkhwa,Batagram,2014,32.0,66.85,55.92,66.92,20.46,89.81,93.95,23.08,47.45,7.09,0.5,85.54,3.04,3.04,77.95,96.29,76.8,3.22,42.64,53.71,66.21,13.61,20.19,23.62,9.32,24.97,41.84,18.23,60.11,21.24,46.93,21.18,49.43,0.37,0.17,0.44,0.77,0.36,0.0
Khyber Pakhtunkhwa,Buner,2004,75.0,63.74,55.44,11.24,17.07,70.98,0.61,15.23,47.33,8.82,0.52,81.69,1.48,16.83,29.32,93.27,28.62,4.92,75.5,41.46,57.28,12.34,30.38,27.37,16.2,27.81,28.62,34.04,49.5,17.77,38.02,15.93,39.34,0.21,0.08,0.27,0.59,0.31,0.0
Khyber Pakhtunkhwa,Buner,2006,74.0,71.32,63.22,27.89,45.09,82.66,20.3,36.85,79.97,9.49,0.5,82.31,2.16,15.53,33.29,86.9,32.21,4.36,67.16,34.14,48.24,15.25,36.51,29.05,20.43,27.22,23.3,19.3,59.98,17.85,43.91,18.94,49.06,0.22,0.08,0.33,0.73,0.24,0.0
Khyber Pakhtunkhwa,Buner,2008,52.0,70.4,55.95,44.91,16.41,92.81,62.08,50.8,91.41,8.77,0.51,86.34,1.52,12.13,44.23,63.21,43.04,3.99,60.01,33.79,42.61,14.49,42.9,36.48,19.86,22.49,21.17,15.48,71.69,27.4,47.3,18.57,58.33,0.19,0.07,0.29,0.72,0.19,0.0
Khyber Pakhtunkhwa,Buner,2010,56.0,63.79,51.74,49.64,28.9,81.35,80.03,22.32,76.49,8.11,0.51,76.97,4.39,10.44,36.96,72.72,36.6,4.11,61.49,33.8,48.75,23.68,27.58,38.17,14.47,30.91,16.45,15.5,68.44,25.93,45.08,15.38,53.7,0.26,0.07,0.41,0.68,0.28,0.0
Khyber Pakhtunkhwa,Buner,2012,46.0,67.07,48.51,53.88,17.43,90.86,89.08,40.68,83.9,8.27,0.46,83.23,3.33,6.44,49.52,79.92,48.9,3.93,60.19,31.95,33.3,26.44,40.26,45.38,21.54,20.39,12.69,8.06,71.85,28.76,54.1,24.87,59.64,0.41,0.16,0.5,0.71,0.4,0.0
Khyber Pakhtunkhwa,Buner,2014,42.0,59.55,24.15,59.2,16.07,89.1,96.45,29.49,71.26,8.88,0.5,79.24,1.72,3.37,48.84,84.86,48.69,3.83,60.65,28.32,34.13,27.05,38.82,40.73,22.66,24.04,11.07,5.94,77.59,36.22,47.64,16.7,57.61,0.3,0.09,0.41,0.76,0.44,0.0
Khyber Pakhtunkhwa,Charsadda,2004,64.0,52.63,14.34,34.85,1.37,96.47,4.42,53.29,83.68,7.73,0.47,78.6,4.45,16.95,17.31,43.37,15.84,4.16,61.41,39.46,35.99,12.43,51.58,43.38,25.61,12.67,18.35,23.3,53.28,25.12,50.28,24.2,53.17,0.4,0.19,0.44,0.64,0.33,18.33
Khyber Pakhtunkhwa,Charsadda,2006,62.0,58.34,21.56,49.97,19.17,98.76,34.66,43.65,94.29,6.82,0.44,88.65,4.83,6.52,23.49,47.35,21.96,3.61,57.1,41.84,31.98,17.81,50.22,51.34,23.29,14.28,11.09,20.95,56.0,33.51,55.87,27.36,57.17,0.44,0.18,0.42,0.79,0.36,18.94
Khyber Pakhtunkhwa,Charsadda,2008,47.0,83.18,19.55,51.21,10.92,98.04,62.63,37.19,98.09,7.44,0.43,94.41,2.32,3.27,21.7,46.44,21.4,3.61,51.94,41.2,36.05,13.78,50.17,46.15,22.07,15.17,16.61,18.91,59.49,42.21,55.32,28.67,58.43,0.43,0.2,0.4,0.77,0.45,18.1
Khyber Pakhtunkhwa,Charsadda,2010,47.0,76.82,18.26,51.37,10.01,99.63,90.67,47.69,88.08,7.35,0.46,86.23,2.2,3.83,41.32,62.06,38.55,3.95,59.13,37.88,25.09,22.95,51.96,52.57,22.72,13.83,10.88,15.07,66.81,32.01,55.66,30.47,61.88,0.41,0.22,0.49,0.8,0.45,17.15
Khyber Pakhtunkhwa,Charsadda,2012,35.0,80.48,13.61,60.98,13.26,98.34,95.33,39.56,93.23,7.43,0.44,79.8,5.84,8.59,51.93,70.59,46.67,3.67,55.64,37.99,22.4,28.32,49.28,59.0,22.46,9.83,8.71,12.46,77.6,44.57,63.18,30.76,64.22,0.5,0.21,0.56,0.77,0.55,20.94
Khyber Pakhtunkhwa,Charsadda,2014,28.0,86.0,4.48,73.73,13.68,99.71,97.03,50.46,92.09,7.45,0.45,84.38,3.64,8.53,51.32,74.54,50.17,3.7,53.92,35.97,28.69,28.62,42.69,53.08,20.42,13.85,11.2,12.78,74.81,38.54,65.67,30.15,67.39,0.53,0.23,0.58,0.83,0.51,19.32
Khyber Pakhtunkhwa,Chitral,2004,61.0,44.86,44.11,45.97,22.8,85.94,0.0,24.89,55.53,7.18,0.42,97.99,1.47,0.55,11.9,79.38,9.61,3.19,39.05,48.96,47.11,14.6,38.29,37.13,14.27,30.5,18.09,22.08,65.56,45.02,69.48,26.58,75.54,0.57,0.2,0.71,0.71,0.75,10.78
Khyber Pakhtunkhwa,Chitral,2006,56.0,57.01,54.96,48.1,1.86,98.4,3.82,18.91,66.9,7.27,0.42,99.2,0.16,0.64,7.85,66.49,5.28,2.89,31.89,52.21,48.32,13.38,38.31,37.01,13.95,28.49,20.55,16.45,73.07,40.7,72.46,34.75,75.72,0.68,0.25,0.77,0.88,0.67,11.23
Khyber Pakhtunkhwa,Chitral,2008,39.0,55.72,55.54,23.83,10.67,92.79,32.11,38.23,74.22,7.44,0.41,99.17,0.56,0.27,11.12,41.45,3.02,2.65,27.48,44.97,39.27,13.38,47.34,47.07,12.66,23.59,16.69,17.54,74.8,48.64,74.2,37.69,75.06,0.69,0.26,0.83,0.88,0.93,10.13
Khyber Pakhtunkhwa,Chitral,2010,32.0,39.63,39.26,76.28,2.53,98.41,53.92,19.25,68.82,7.1,0.4,98.97,0.82,0.94,18.61,58.01,16.03,2.78,29.99,51.55,53.47,16.36,30.18,35.32,7.02,25.16,32.5,20.94,79.98,52.14,81.09,38.63,85.4,0.69,0.31,0.82,0.99,0.91,10.57
