年度,類別,科目,題號,數值
115,鑑別度,自然,14,0.41
115,鑑別度,國文,15,0.48
115,鑑別度,英語聽力,15,0.63
115,鑑別度,英語,15,0.44
115,鑑別度,數學,15,0.56
115,鑑別度,社會,15,0.54
115,鑑別度,自然,15,0.4
115,鑑別度,國文,16,0.5
115,鑑別度,英語聽力,16,0.63
115,鑑別度,英語,16,0.43
115,鑑別度,數學,16,0.49
115,鑑別度,社會,16,0.56
115,鑑別度,自然,16,0.57
115,鑑別度,國文,17,0.56
115,鑑別度,英語聽力,17,0.51
115,鑑別度,英語,17,0.58
115,鑑別度,數學,17,0.53
115,鑑別度,社會,17,0.54
115,鑑別度,自然,17,0.53
115,鑑別度,國文,18,0.44
115,鑑別度,英語聽力,18,0.69
115,鑑別度,英語,18,0.35
115,鑑別度,數學,18,0.48
115,鑑別度,社會,18,0.47
115,鑑別度,自然,18,0.57
115,鑑別度,國文,19,0.46
115,鑑別度,英語聽力,19,0.64
115,鑑別度,英語,19,0.65
115,鑑別度,數學,19,0.49
115,鑑別度,社會,19,0.56
115,鑑別度,自然,19,0.5
115,鑑別度,國文,20,0.31
115,鑑別度,英語聽力,20,0.38
115,鑑別度,英語,20,0.57
115,鑑別度,數學,20,0.28
115,鑑別度,社會,20,0.56
115,鑑別度,自然,20,0.33
115,鑑別度,國文,21,0.48
115,鑑別度,英語聽力,21,0.35
115,鑑別度,英語,21,0.41
115,鑑別度,數學,21,0.43
115,鑑別度,社會,21,0.6
115,鑑別度,自然,21,0.34
115,鑑別度,國文,22,0.43
115,鑑別度,英語,22,0.66
115,鑑別度,數學,22,0.13
115,鑑別度,社會,22,0.51
115,鑑別度,自然,22,0.49
115,鑑別度,國文,23,0.37
115,鑑別度,英語,23,0.66
115,鑑別度,數學,23,0.46
115,鑑別度,社會,23,0.49
115,鑑別度,自然,23,0.51
115,鑑別度,國文,24,0.45
115,鑑別度,英語,24,0.66
115,鑑別度,數學,24,0.41
115,鑑別度,社會,24,0.2
115,鑑別度,自然,24,0.62
115,鑑別度,國文,25,0.49
115,鑑別度,英語,25,0.61
115,鑑別度,數學,25,0.37
115,鑑別度,社會,25,0.5
115,鑑別度,自然,25,0.39
115,鑑別度,國文,26,0.49
115,鑑別度,英語,26,0.62
115,鑑別度,社會,26,0.39
115,鑑別度,自然,26,0.61
115,鑑別度,國文,27,0.45
115,鑑別度,英語,27,0.61
115,鑑別度,社會,27,0.55
115,鑑別度,自然,27,0.56
115,鑑別度,國文,28,0.54
115,鑑別度,英語,28,0.55
115,鑑別度,社會,28,0.48
115,鑑別度,自然,28,0.5
115,鑑別度,國文,29,0.46
115,鑑別度,英語,29,0.71
115,鑑別度,社會,29,0.52
115,鑑別度,自然,29,0.36
115,鑑別度,國文,30,0.56
115,鑑別度,英語,30,0.67
115,鑑別度,社會,30,0.48
115,鑑別度,自然,30,0.65
115,鑑別度,國文,31,0.46
115,鑑別度,英語,31,0.6
115,鑑別度,社會,31,0.65
115,鑑別度,自然,31,0.55
115,鑑別度,國文,32,0.45
115,鑑別度,英語,32,0.66
115,鑑別度,社會,32,0.65
115,鑑別度,自然,32,0.33
115,鑑別度,國文,33,0.54
115,鑑別度,英語,33,0.56
115,鑑別度,社會,33,0.45
115,鑑別度,自然,33,0.37
115,鑑別度,國文,34,0.56
115,鑑別度,英語,34,0.67
115,鑑別度,社會,34,0.34
115,鑑別度,自然,34,0.47
115,鑑別度,國文,35,0.49
115,鑑別度,英語,35,0.69
115,鑑別度,社會,35,0.58
115,鑑別度,自然,35,0.49
115,鑑別度,國文,36,0.48
115,鑑別度,英語,36,0.52
115,鑑別度,社會,36,0.55
115,鑑別度,自然,36,0.69
115,鑑別度,國文,37,0.52
115,鑑別度,英語,37,0.53
115,鑑別度,社會,37,0.64
115,鑑別度,自然,37,0.48
115,鑑別度,國文,38,0.57
115,鑑別度,英語,38,0.53
115,鑑別度,社會,38,0.46
115,鑑別度,自然,38,0.39
115,鑑別度,國文,39,0.51
115,鑑別度,英語,39,0.53
115,鑑別度,社會,39,0.43
115,鑑別度,自然,39,0.53
115,鑑別度,國文,40,0.45
115,鑑別度,英語,40,0.66
115,鑑別度,社會,40,0.6
115,鑑別度,自然,40,0.22
115,鑑別度,國文,41,0.51
115,鑑別度,英語,41,0.65
115,鑑別度,社會,41,0.47
115,鑑別度,自然,41,0.22
115,鑑別度,國文,42,0.42
115,鑑別度,英語,42,0.54
115,鑑別度,社會,42,0.55
115,鑑別度,自然,42,0.52
115,鑑別度,英語,43,0.66
115,鑑別度,社會,43,0.44
115,鑑別度,自然,43,0.58
115,鑑別度,社會,44,0.41
115,鑑別度,自然,44,0.44
115,鑑別度,社會,45,0.47
115,鑑別度,自然,45,0.57
115,鑑別度,社會,46,0.33
115,鑑別度,自然,46,0.48
115,鑑別度,社會,47,0.51
115,鑑別度,自然,47,0.47
115,鑑別度,社會,48,0.49
115,鑑別度,自然,48,0.64
115,鑑別度,社會,49,0.53
115,鑑別度,自然,49,0.46
115,鑑別度,社會,50,0.44
115,鑑別度,自然,50,0.47
115,鑑別度,社會,51,0.47
115,鑑別度,社會,52,0.6
115,鑑別度,社會,53,0.6
115,鑑別度,社會,54,0.56
